12-nov;5,43
13-nov;5,43
14-nov;5,43
15-nov;5,43
16-nov;5,41
17-nov;5,41
18-nov;5,41
19-nov;5,41
20-nov;5,41
21-nov;5,41
22-nov;5,41
23-nov;5,41
24-nov;5,41
25-nov;5,41
26-nov;5,41
27-nov;5,41
28-nov;5,41
29-nov;5,41
30-nov;5,37
1-dic;5,37
2-dic;5,37
3-dic;5,37
4-dic;5,37
5-dic;5,37
6-dic;5,37
7-dic;5,36
8-dic;5,36
9-dic;5,36
10-dic;5,36
11-dic;5,36
12-dic;5,36
13-dic;5,36
14-dic;5,35
15-dic;5,35
16-dic;5,35
17-dic;5,35
18-dic;5,35
19-dic;5,35
20-dic;5,35
21-dic;5,35
22-dic;5,35
23-dic;5,35
24-dic;5,35
25-dic;5,35
26-dic;5,35
27-dic;5,35
28-dic;5,36
29-dic;5,36
30-dic;5,36
31-dic;5,36
