604.39;611.75
604.39;611.75
603.01;611.55
604.77;611.68
602.4;611.55
602.4;611.55
602.4;611.55
605.39;612.93
604.83;612.21
605.61;612.12
604.86;610.49
602.3;608.8
602.3;608.8
602.3;608.8
599.81;606.63
598.84;605.08
596.67;602.97
597.13;603.52
597;604.7
597;604.7
597;604.7
597.49;605.15
598.6;606.56
603.22;608.11
605.03;610.7
606.26;612.6
606.26;612.6
606.26;612.6
606.85;613.97
608.99;614.95
607.85;614.17
608.04;614.32
607.4;615.31
607.4;615.31
607.4;615.31
606.03;616.4
608.51;616.45
608.11;615.35
610.01;615.12
608.78;614.96
608.78;614.96
608.78;614.96
607.96;615.06
608.15;614.08
607.24;612.76
607.17;612.42
604.45;611.36
604.45;611.36
604.45;611.36
605.64;611.2
605.76;612.62
606.89;612
605.97;611.69
606.05;611.12
606.05;611.12
606.05;611.12
604.97;612.21
605.35;611.66
605.05;610.72
604.08;609.76
602.58;609.32
602.58;609.32
602.58;609.32
602.87;608.5
603.97;610.37
605.74;611.11
605.89;611.39
604.45;610.76
604.45;610.76
604.45;610.76
602.37;608.21
601.13;607.25
599.23;604.75
596.83;601.76
594.28;600.62
594.28;600.62
594.28;600.62
592.67;598.73
592.09;600.39
597.7;603.16
598.76;605.23
604.62;612.61
604.62;612.61
604.62;612.61
604.5;610.54
601.65;608.14
600.64;606.75
598.41;603.85
596.04;602.36
596.04;602.36
596.04;602.36
595;602.74
597.18;605.49
602.41;608.93
604.31;609.46
601.99;608.58
601.99;608.58
601.99;608.58
601.42;607.96
599.82;605.3
598.67;603.7
598.67;603.7
596.34;602.69
596.34;602.69
596.34;602.69
595.01;600.73
592.91;598.79
592.5;598.63
592.5;598.63
592.5;598.63
592.5;598.63
592.5;598.63
593.76;601.24
596.66;603.51
598.81;605.24
597;603.05
594.26;599.75
594.26;599.75
594.26;599.75
592.98;599.09
592.27;598.9
592.27;598.9
593.09;599.48
591.37;598.34
591.37;598.34
591.37;598.34
591.14;598.76
591.57;599.1
591.88;597.82
592.28;598.45
591.91;597.68
591.91;597.68
591.91;597.68
590.86;596.5
588.8;594.57
586.7;592.66
584.48;591.45
584.01;590.91
584.01;590.91
584.01;590.91
584.57;591.28
584.47;591.09
587.46;593.71
587.89;594.03
588.41;594.97
588.41;594.97
588.41;594.97
587.93;594.51
587.05;592.86
585.97;591.24
584.11;590.54
583.49;591.03
583.49;591.03
583.49;591.03
583.91;591.07
585.32;593.65
589.38;594.5
589.42;596.5
588.66;595.4
588.66;595.4
588.66;595.4
586.02;592.68
584.85;591.39
586.62;589.59
582.59;588.52
581.13;588.89
581.13;588.89
581.13;588.89
580.66;587.86
580.8;587.43
581.92;589.16
581.65;587.95
581.72;588.06
581.72;588.06
